created_date,deliverey_category_id,weekday,first_created_at,time_bucket,total_distance,sum_product,source_latitude,source_longitude,destination_latitude,destination_longitude,final_customer_fare,final_biker_fare,first_customer_fare,hyper_ack
7/25/2022,0,1,2022-07-25 15:34:22+00:00,120,4.478,17,30.60465813,53.50363159,31.6029377,54.47793198,300000,300000,250000,1
7/23/2022,0,6,2022-07-23 10:21:51+00:00,89,3.3368,5,37.3064003,60.657444,38.30512238,61.67775726,470000,470000,230000,1
10/16/2022,0,7,2022-10-16 10:27:08+00:00,83,0.4854,1,33.62971115,52.63362122,34.6289978,53.63080597,160000,160000,160000,1
10/25/2022,4,2,2022-10-25 09:57:54+00:00,80,8.1736,1,33.67260361,52.68685532,34.65490341,53.70492935,950000,530000,530000,1
8/1/2022,0,1,2022-08-01 08:48:47+00:00,79,2.4995,1,36.8205452,51.99628067,37.82708359,52.97476196,450000,360000,230000,1
8/2/2022,0,2,2022-08-02 12:26:30+00:00,101,2.304,3,31.27318954,58.07483292,32.28535271,59.08585358,270000,270000,270000,1
8/21/2022,0,7,2022-08-21 15:48:34+00:00,121,1.393,4,37.56123734,54.07217026,38.55630112,55.07619476,400000,180000,180000,0
9/8/2022,0,4,2022-09-08 08:29:30+00:00,77,1.4002,4,37.36189651,60.50678635,38.35597229,61.50347137,170000,170000,170000,1
11/11/2022,0,5,2022-11-11 17:38:51+00:00,126,1.4832,10,37.37293625,60.47748184,38.36899185,61.47058105,340000,170000,170000,0
10/17/2022,0,1,2022-10-17 09:25:59+00:00,77,4.4246,2,35.62480164,51.87624741,36.64300156,52.8769989,360000,270000,240000,0
11/6/2022,0,7,2022-11-06 11:24:24+00:00,89,4.1783,21,37.31901932,60.50831604,38.33948135,61.51565933,540000,270000,270000,0
7/2/2022,0,6,2022-07-02 09:11:41+00:00,82,2.2184,1,30.60830307,53.53384018,31.59830856,54.53226089,200000,180000,170000,0
7/10/2022,0,7,2022-07-10 16:28:56+00:00,125,4.1377,2,35.61317444,51.84392166,36.60952377,52.87050629,300000,260000,220000,0
9/15/2022,0,4,2022-09-15 18:03:13+00:00,135,2.4512,5,38.53712463,46.09285736,39.5333519,47.1088028,280000,240000,240000,0
10/15/2022,0,6,2022-10-15 05:12:59+00:00,52,3.8944,1,37.31543732,60.58177567,38.31033707,61.56973648,520000,260000,260000,0
9/14/2022,0,3,2022-09-14 13:33:03+00:00,108,0.4327,1,29.95811653,51.83909225,30.95979309,52.8373642,360000,240000,240000,0
8/2/2022,0,2,2022-08-02 16:26:53+00:00,125,0.4555,4,32.86353302,55.3801918,33.86174965,56.38148117,220000,200000,200000,0
7/7/2022,0,4,2022-07-07 10:21:05+00:00,89,1.8966,2,30.57946014,53.57966614,31.56827164,54.57883072,240000,160000,160000,0
9/28/2022,0,3,2022-09-28 17:59:26+00:00,128,0.7931,2,31.30186081,58.08748627,32.30542374,59.08492661,250000,240000,240000,0
10/17/2022,0,1,2022-10-17 14:14:07+00:00,106,10.4781,2,37.32876587,60.52889633,38.31877518,61.54157639,560000,460000,460000,0
7/30/2022,0,6,2022-07-30 10:25:34+00:00,89,1.2951,1,29.97769356,51.83879089,30.97763062,52.82849121,560000,250000,250000,0
7/29/2022,0,5,2022-07-29 07:07:05+00:00,69,2.8283,1,31.29270935,58.04473114,32.29536057,59.05932617,310000,280000,280000,0
8/14/2022,0,7,2022-08-14 11:07:06+00:00,93,1.4453,4,37.31177521,60.5623436,38.30550385,61.57180405,310000,170000,170000,0
8/29/2022,0,1,2022-08-29 16:12:56+00:00,124,2.8263,2,37.31290436,60.51564407,38.31924438,61.49580383,420000,210000,210000,0
9/12/2022,0,1,2022-09-12 15:29:25+00:00,119,3.0116,11,30.59929848,53.57356644,31.61047554,54.58031464,490000,300000,190000,0
10/4/2022,0,2,2022-10-04 16:41:50+00:00,121,1.802,6,32.29937553,49.63588715,33.29355049,50.6293335,460000,200000,200000,0
11/14/2022,0,1,2022-11-14 09:18:28+00:00,76,1.7418,27,37.32870102,60.5531044,38.31644821,61.55763245,450000,280000,170000,0
9/16/2022,0,5,2022-09-16 10:30:07+00:00,90,3.2032,10,30.60202789,53.58745956,31.61946678,54.56984711,400000,200000,200000,0
11/1/2022,0,2,2022-11-01 10:40:07+00:00,85,0.4913,5,31.29187202,58.03577042,32.29070854,59.03171158,300000,240000,240000,0
7/7/2022,0,4,2022-07-07 13:46:35+00:00,109,2.9114,3,30.6267643,53.51836777,31.62350655,54.53865814,260000,200000,190000,0
8/18/2022,0,4,2022-08-18 06:22:44+00:00,65,3.4711,2,33.70254135,52.64476776,34.6931076,53.61775208,520000,240000,240000,0
11/14/2022,0,1,2022-11-14 11:14:32+00:00,88,12.142,3,30.59250259,53.52932358,31.57107162,54.51872635,790000,340000,310000,0
9/7/2022,0,3,2022-09-07 11:16:40+00:00,94,1.7094,6,29.90089417,51.83758163,30.91418648,52.83246613,530000,270000,270000,0
10/23/2022,0,7,2022-10-23 18:01:00+00:00,129,2.2966,12,35.55318451,51.80968475,36.55945969,52.82056427,300000,150000,150000,0
9/19/2022,0,1,2022-09-19 08:56:42+00:00,80,0.3434,1,29.97769356,51.83879089,30.97710609,52.83969116,400000,240000,240000,0
11/8/2022,0,2,2022-11-08 10:40:08+00:00,85,4.4388,2,37.83620453,55.46093369,38.84007263,56.42386246,670000,510000,510000,0
11/7/2022,0,1,2022-11-07 16:09:49+00:00,117,5.6118,15,30.56510735,53.50318909,31.58551216,54.51057816,410000,180000,180000,0
10/12/2022,0,3,2022-10-12 19:11:03+00:00,136,3.3977,1,38.26471329,50.587883,39.27560806,51.61379623,370000,290000,290000,0
10/12/2022,0,3,2022-10-12 12:06:59+00:00,93,1.8662,1,31.30377007,58.08171844,32.30010986,59.09730148,310000,260000,260000,0
10/17/2022,0,1,2022-10-17 09:01:01+00:00,75,0.2046,5,38.54401398,46.08097458,39.5452919,47.0820694,250000,170000,170000,0
9/18/2022,0,7,2022-09-18 13:17:01+00:00,106,3.5903,1,38.54362106,46.06864166,39.52216339,47.06425095,330000,310000,310000,0
11/1/2022,0,2,2022-11-01 07:54:03+00:00,68,2.1221,2,33.7083931,52.64043427,34.71027756,53.65525436,530000,200000,180000,0
8/30/2022,0,2,2022-08-30 06:35:53+00:00,66,3.4722,7,36.81558228,51.94966125,37.83551788,52.94051361,330000,300000,300000,0
9/1/2022,0,4,2022-09-01 17:05:40+00:00,129,0.8431,2,31.28273964,57.99044037,32.27741814,58.99011612,270000,260000,240000,0
7/3/2022,0,7,2022-07-03 13:17:54+00:00,106,1.4746,1,38.54227066,46.07017899,39.54371643,47.07100296,310000,190000,190000,0
7/7/2022,0,4,2022-07-07 09:50:27+00:00,86,3.3145,3,30.61027718,53.53083038,31.59642029,54.51576996,220000,200000,200000,0
9/28/2022,0,3,2022-09-28 11:02:44+00:00,87,2.206,1,37.29066467,60.58511734,38.29339981,61.58281326,410000,160000,160000,0
10/6/2022,0,4,2022-10-06 09:24:07+00:00,77,4.6264,1,31.29480171,58.02746964,32.29300308,59.05417252,340000,310000,310000,0
7/20/2022,0,3,2022-07-20 08:43:38+00:00,79,2.0934,35,37.2781868,60.61702347,38.28289032,61.62969971,410000,180000,180000,0
7/3/2022,0,7,2022-07-03 10:03:56+00:00,87,3.7911,9,32.83466721,55.37498093,33.81435394,56.36294937,420000,340000,310000,0
7/21/2022,0,4,2022-07-21 14:44:00+00:00,115,3.1756,4,37.29943848,60.65097809,38.31464767,61.6619339,390000,230000,230000,0
7/24/2022,0,7,2022-07-24 15:10:05+00:00,118,3.7161,2,30.60432243,53.52786636,31.62049294,54.5248642,250000,190000,190000,0
8/10/2022,0,3,2022-08-10 07:24:08+00:00,71,0.4393,3,31.29487419,58.02749634,32.29500008,59.02392197,280000,240000,240000,0
8/4/2022,0,4,2022-08-04 13:38:00+00:00,108,1.9433,15,37.32870102,60.5531044,38.33136749,61.56793594,360000,180000,180000,0
9/21/2022,0,3,2022-09-21 12:20:50+00:00,101,4.8532,1,36.83095932,51.9890976,37.81299973,52.97000122,810000,470000,470000,0
11/12/2022,0,6,2022-11-12 18:40:33+00:00,133,2.6694,1,29.95785522,51.83891296,30.95382309,52.84595108,540000,260000,260000,0
10/27/2022,0,4,2022-10-27 08:23:30+00:00,71,5.1728,23,37.35607147,60.53731155,38.36037064,61.54618835,620000,310000,310000,0
